transaction_id,card_number,card_type,expiration_date,cvv,card_holder_name,billing_address,billing_city,billing_state,billing_postal_code,billing_country,transaction_amount,transaction_date,merchant_name,merchant_category,transaction_description,transaction_type,currency_code,exchange_rate,conversion_amount,conversion_date,transaction_status,authorization_code,payment_gateway,transaction_reference_number,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_postal_code
105,3589623484563541,Mastercard,12/25/2029,155,Sile Salleir,693 Warner Trail,Bagumbayan,,9810,Philippines,8080.22,7/19/2026,Mydeo,Dining,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,Refund,PHP,1.4644,5096.67,8/2/2028,Declined,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,Vinder,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,Chico Chittie,cchittie2w@mysql.com,655-545-1152,7290 Buhler Alley,Norfolk,VA,23509
106,4704116856348,Visa,5/8/2023,466,Eyde Corbin,899 Sheridan Place,Chengguan,,,China,20.75,3/3/2026,Twitterworks,Entertainment,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,Cash Advance,CNY,1.5679,3796.51,5/10/2024,Approved,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Katz,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,Humbert Parnby,hparnby2x@theglobeandmail.com,542-457-5902,308 Welch Avenue,Selouane,,
107,3564507660880846,Mastercard,12/12/2022,131,Von Collar,6585 Dorton Street,Marteleira,11,2530-342,Portugal,6394.05,10/24/2026,Latz,Entertainment,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,Purchase,EUR,1.4897,7797.25,5/17/2026,Approved,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,Aivee,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,Nap Toulson,ntoulson2y@google.com.au,339-942-6779,27969 Michigan Terrace,Élancourt,A8,78990
108,6759346551581561,Visa,5/16/2030,731,Karol Clemintoni,721 Acker Junction,Concepción,,,Paraguay,3832.64,11/15/2029,Mudo,Retail,convallis nunc proin at turpis a pede posuere nonummy integer non,Purchase,PYG,0.6377,2729.47,5/20/2023,Declined,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,Muxo,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,Nataniel Toffaloni,ntoffaloni2z@hexun.com,255-601-9498,2 Knutson Alley,Landskrona,M,261 91
109,3546891773955304,American Express,1/13/2027,412,Vivianne Alvarado,3 Linden Lane,Baiyang,,,China,5460.67,4/12/2028,Kazio,Dining,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,Cash Advance,CNY,1.0004,184.02,12/30/2028,Approved,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,DabZ,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,Romona Ive,rive30@sciencedirect.com,253-240-2041,84 Crownhardt Lane,Reisdorf,,L-9391
110,6372435268492662,American Express,10/2/2025,808,Nadiya Dik,651 Roth Crossing,Dieppe,A7,76883 CEDEX,France,689.51,8/6/2023,Shuffletag,Entertainment,donec quis orci eget orci vehicula condimentum curabitur in libero ut,Refund,EUR,1.8132,3624.58,5/2/2026,Pending,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,Meejo,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,Darrell De Malchar,dde31@house.gov,194-196-7877,45 Brickson Park Road,San Antonio,,735538
111,5327315568585373,Mastercard,9/23/2023,470,Fredericka Scamel,0149 Blue Bill Park Circle,Águia Branca,,29795-000,Brazil,8102.32,2/20/2027,Rhynyx,Retail,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,Cash Advance,BRL,1.5386,7672.45,1/16/2030,Approved,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,Flashspan,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,Kip Fussie,kfussie32@deviantart.com,679-626-6257,549 Johnson Road,Mudon,,
112,675919034137086300,Mastercard,7/10/2027,553,Normand Gerling,50 Bay Park,Kayapa,,3708,Philippines,6350.57,11/16/2025,Centidel,Entertainment,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,Purchase,PHP,0.6271,1247.61,8/19/2027,Pending,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,Centidel,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,Farlie Farlane,ffarlane33@aol.com,852-756-0676,3 Moulton Road,Mbouda,,
113,3530389785294646,American Express,12/20/2029,523,Rubi Secombe,61779 Loeprich Park,Taupo,,3352,New Zealand,3961.95,5/28/2022,Demimbu,Dining,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,Purchase,NZD,0.9722,5043.86,9/20/2029,Declined,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,Youfeed,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,Mindy Auston,mauston34@purevolume.com,996-692-3627,65634 Surrey Lane,Energeticheskiy,,
114,374283798572129,Mastercard,4/24/2030,369,Clementia Tomasian,3941 Heffernan Avenue,Sembon,,,Indonesia,2270.07,12/23/2028,Devcast,Dining,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,Purchase,IDR,0.7626,4833.0,1/13/2029,Pending,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,Kayveo,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Levin Gabbott,lgabbott35@imgur.com,154-892-8122,892 Carioca Point,Yaozhou,,
115,3549849608078749,American Express,8/20/2030,455,Aretha Cavnor,59 Summit Parkway,Bonthe,,,Sierra Leone,3410.8,2/8/2028,Vinte,Retail,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,Refund,SLL,0.5372,3601.16,4/26/2030,Approved,morbi a ipsum integer a nibh in quis justo maecenas rhoncus,Cogidoo,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,Meghan Dener,mdener36@globo.com,693-557-6040,5 Talisman Street,Bendo,,
116,30175063854131,American Express,2/7/2022,849,Iona Markwelley,7895 Spaight Center,Beaumont,TX,77705,United States,1138.01,9/21/2024,Edgeclub,Entertainment,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Refund,USD,1.0899,3838.11,8/23/2025,Pending,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,Voomm,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,Clementina Beevor,cbeevor37@prweb.com,936-594-4701,2395 Roth Street,Brody,,68-343
117,201747894589343,Visa,11/30/2024,448,Theresita Aldersey,179 Boyd Lane,Panacan,,5032,Philippines,4556.23,12/20/2023,Yodo,Retail,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,Purchase,PHP,1.4317,6057.43,6/18/2025,Declined,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,Brightbean,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,Cornela Rockey,crockey38@jugem.jp,317-235-3263,8324 Artisan Park,Lefkímmi,,
118,5893563062562706384,Visa,3/13/2025,859,Stacey Noice,19919 Cody Avenue,Saint-André-Avellin,QC,T5Y,Canada,7875.07,11/5/2030,Cogidoo,Travel,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,Refund,CAD,1.8008,7660.33,5/25/2024,Pending,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,Voolia,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,Huey Mayling,hmayling39@vk.com,410-722-6202,37059 North Crossing,Nahuo,,
119,3537362553826462,American Express,4/24/2026,856,Veronika Keely,17 Mendota Park,Jinping,,,China,4996.18,11/28/2029,Skivee,Entertainment,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,Refund,CNY,1.2677,5575.73,1/1/2027,Pending,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,Tagfeed,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,Bruce Domenico,bdomenico3a@cdbaby.com,957-291-6214,066 Veith Park,Budagovo,,665236
120,6331100915169181568,Mastercard,3/5/2030,469,Electra Kevlin,44 Lerdahl Avenue,Villa Nueva,,5903,Argentina,1031.83,2/17/2023,Demivee,Travel,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,Cash Advance,ARS,0.6993,5021.42,1/15/2029,Declined,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,Jayo,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,Hillary Woolner,hwoolner3b@globo.com,976-762-7645,6340 Pennsylvania Trail,Reno,NV,89519
121,5020660788201920661,Mastercard,12/11/2030,683,Dario Mathias,51073 Paget Street,Dobri Dol,,1236,Macedonia,3823.65,12/28/2025,Rooxo,Entertainment,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,Refund,MKD,1.6081,1796.86,11/7/2029,Approved,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,Twitternation,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,Marnia Maple,mmaple3c@google.cn,212-332-6667,9888 Annamark Crossing,Gavarr,,
122,490349985789969503,American Express,7/26/2022,521,Rorke Courtman,680 Esch Street,Xiushi,,,China,6460.91,8/4/2022,Photobug,Travel,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,Refund,CNY,0.7858,1518.33,3/21/2030,Declined,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,Youbridge,orci vehicula condimentum curabitur in libero ut massa volutpat convallis,Dodi Prestney,dprestney3d@yale.edu,175-763-7499,37 Merchant Lane,Noyemberyan,,
123,3559410690030481,Mastercard,11/13/2027,150,Jonell Christoffersen,74 Di Loreto Street,Vidyayevo,,184389,Russia,1890.4,4/24/2026,Blogspan,Retail,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,Cash Advance,RUB,1.1986,9330.52,10/12/2029,Pending,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Flashpoint,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,Lee Doucette,ldoucette3e@ucla.edu,896-408-8792,2795 Crest Line Court,San Jose,GRO,39266
124,5010121616476876,American Express,11/14/2028,717,Heriberto Pakeman,6708 Porter Trail,Xinqiao,,,China,4607.44,11/19/2027,Dabvine,Travel,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,Refund,CNY,1.5177,1204.49,3/21/2028,Approved,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,Riffpath,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,Kacey GiacobbiniJacob,kgiacobbinijacob3f@mozilla.com,971-471-4900,83991 Rockefeller Plaza,Yunfeng,,
125,3551738714119882,Visa,9/24/2030,741,Reade Meier,671 Little Fleur Point,Quintas,03,4730-410,Portugal,8560.0,2/3/2030,Miboo,Dining,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,Cash Advance,EUR,1.3887,1552.32,5/14/2022,Declined,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,Devcast,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,Siouxie Bazoge,sbazoge3g@abc.net.au,111-233-9463,6 Buena Vista Plaza,Tamansari,,
126,6387293703390295,Mastercard,8/14/2025,958,Erinna Anneslie,04329 Emmet Place,Arendal,09,4808,Norway,4999.67,10/8/2026,Blognation,Retail,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,Purchase,NOK,1.1966,364.92,11/30/2025,Approved,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,Abatz,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,Zacharias Mazey,zmazey3h@shareasale.com,811-963-2488,70811 Summer Ridge Terrace,Chornoliztsi,,
127,3528651032810902,American Express,1/2/2024,613,Libbi Tondeur,4 Memorial Park,Donomulyo,,,Indonesia,1233.67,9/27/2030,Linktype,Travel,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,Purchase,IDR,0.5982,4117.29,8/19/2030,Declined,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,Shuffletag,nunc proin at turpis a pede posuere nonummy integer non velit donec,Lucas Roark,lroark3i@bandcamp.com,397-694-0356,86229 Cascade Parkway,Lyon,B9,69464 CEDEX 06
128,6759811465234636073,American Express,4/30/2026,714,Irwin Charley,48819 Susan Point,Samayac,,10009,Guatemala,7419.32,2/11/2022,Npath,Entertainment,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,Purchase,GTQ,1.3436,7758.49,5/1/2026,Declined,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,Skynoodle,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,Finn Massot,fmassot3j@apache.org,934-368-2224,36577 Lien Avenue,Hadayang,,
129,4913583625988251,American Express,7/7/2024,509,Rodd Moralee,2 Carioca Drive,Cayur,,,Indonesia,2778.62,4/4/2022,Bubblebox,Retail,duis bibendum felis sed interdum venenatis turpis enim blandit mi in,Purchase,IDR,0.7644,5492.76,10/7/2028,Declined,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,Myworks,elit proin risus praesent lectus vestibulum quam sapien varius ut,Adham Wallbanks,awallbanks3k@ucoz.com,352-871-4995,92 Annamark Way,Suining,,
130,3582805807063682,Visa,7/21/2030,171,Rosalyn Lermouth,0451 Burrows Hill,Iquipi,,,Peru,7242.93,5/12/2028,Tagchat,Travel,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,Cash Advance,PEN,1.1402,3167.43,8/18/2026,Declined,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,Avamba,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,Elsworth Matthensen,ematthensen3l@yandex.ru,176-386-2235,0466 Colorado Way,Xia Zanggor,,
131,676268921536669683,Mastercard,8/31/2022,762,Cort Hanmore,9 Green Ridge Hill,Skoura,,,Morocco,4049.62,4/2/2026,Realcube,Dining,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,Refund,MAD,0.7196,687.61,10/20/2030,Declined,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,Fanoodle,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,Cirillo Perigoe,cperigoe3m@free.fr,593-359-6479,6796 Vidon Circle,Lloqan,,
132,5311458316120040,Visa,10/17/2024,151,Kristen Willans,2544 Donald Circle,Dajin,,,China,2542.58,9/11/2028,Eamia,Travel,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,Refund,CNY,1.1391,3302.44,11/28/2026,Approved,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,Meembee,augue a suscipit nulla elit ac nulla sed vel enim,Rochelle Glinde,rglinde3n@newsvine.com,691-911-5046,4493 Kenwood Place,Peuteuy,,
133,5002350346164680,American Express,11/14/2023,706,Laughton Spyvye,4 Beilfuss Junction,Jinping,,,China,4950.52,8/10/2030,Browsebug,Retail,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,Cash Advance,CNY,1.6435,1148.85,9/12/2024,Pending,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,Topicstorm,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,Cyrill Garrie,cgarrie3o@indiatimes.com,166-459-1993,39 Pine View Crossing,Bagdadi,,
134,5602256750733510,Visa,1/18/2027,188,Jarrid Huband,43 Hooker Center,Lyudinovo,,249406,Russia,7677.69,11/10/2025,Realpoint,Entertainment,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,Cash Advance,RUB,0.7624,6120.13,5/5/2026,Pending,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,Vitz,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,Rosa Hollingdale,rhollingdale3p@spiegel.de,790-509-1437,92646 Parkside Crossing,Mizur,,363220
135,5010129118134398,American Express,1/12/2030,886,Jocko Ovendon,45 Crowley Parkway,Wulongshan,,,China,3425.23,3/5/2026,Trudoo,Travel,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,Refund,CNY,1.7242,8757.2,5/31/2023,Approved,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,Tagcat,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,Kasper Fletcher,kfletcher3q@hhs.gov,813-903-5649,68 Harbort Avenue,Lengkongjaya,,
136,3580059249096122,Visa,12/9/2026,729,Jennica Piggot,7 Rowland Terrace,Malanów,,62-709,Poland,1059.35,3/22/2029,Minyx,Entertainment,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,Purchase,PLN,0.7227,2547.47,2/23/2025,Declined,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,Skyvu,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,Artus Blount,ablount3r@ameblo.jp,174-466-7427,18 Lawn Trail,Chengnan,,
137,561057146372204291,Visa,2/11/2027,489,Laurie Philipp,262 Dawn Center,Yuyang,,,China,8041.06,10/13/2028,Cogidoo,Travel,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,Purchase,CNY,1.3696,8522.29,6/19/2028,Approved,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,Minyx,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,Marylin Franzel,mfranzel3s@adobe.com,648-856-5702,8 Mayer Park,Krasnyy Klyuch,,676058
138,4903473834693516,American Express,5/22/2024,349,Rudyard Austen,3 Manley Parkway,Garanhuns,,55290-000,Brazil,3064.86,7/4/2026,Browseblab,Entertainment,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Purchase,BRL,0.8485,2213.6,12/19/2030,Pending,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,Voolith,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,Melvyn Hurford,mhurford3t@stanford.edu,932-893-0277,40 Bellgrove Drive,Diego de Almagro,,
139,3549964750853714,Mastercard,8/4/2024,125,Almeria Marr,0020 Fordem Junction,Daqian,,,China,8023.15,2/3/2030,Blogtag,Dining,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,Refund,CNY,1.8885,1694.05,9/29/2024,Pending,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,Aimbo,maecenas tincidunt lacus at velit vivamus vel nulla eget eros,Welch Schole,wschole3u@omniture.com,695-693-2909,89 Monica Avenue,Koźmin Wielkopolski,,63-720
140,6383007634338775,Mastercard,4/30/2030,607,Penn Hairon,23255 Petterle Pass,Khemarat,,34170,Thailand,2163.4,9/16/2028,Miboo,Dining,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,Cash Advance,THB,1.9882,9272.05,10/30/2030,Pending,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,Lazzy,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,Lorry Dalbey,ldalbey3v@harvard.edu,745-156-9716,7 Sugar Way,Baghdad,,
141,3564030782150105,Mastercard,9/12/2030,767,Wyatt Kirkland,01 Grasskamp Hill,Mbale,,,Kenya,3199.05,8/19/2028,Thoughtworks,Travel,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,Refund,KES,1.8029,274.63,12/16/2026,Declined,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,Fanoodle,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,Timmy Daynter,tdaynter3w@ed.gov,664-300-7169,30979 Delaware Center,Shuiyuan,,
142,30285534813796,Mastercard,8/22/2028,263,Parsifal Burvill,9125 Petterle Plaza,Ta’ Xbiex,,ZTN,Malta,953.97,2/25/2025,Kaymbo,Entertainment,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,Cash Advance,EUR,1.7244,5024.19,11/16/2025,Declined,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,Meemm,vestibulum sit amet cursus id turpis integer aliquet massa id,Raimundo Toolin,rtoolin3x@unblog.fr,215-329-1179,6145 Meadow Ridge Center,Jomda,,
143,5100145807195418,American Express,4/26/2029,589,Juli Acres,97055 Dryden Avenue,Santulhão,04,5230-204,Portugal,3366.29,12/14/2029,Agimba,Retail,volutpat erat quisque erat eros viverra eget congue eget semper,Refund,EUR,1.1798,2305.2,6/13/2024,Approved,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,Gigaclub,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,Missy Toy,mtoy3y@un.org,970-171-2786,0462 Lotheville Junction,Lykóvrysi,,
144,3531499000551321,American Express,9/25/2026,817,Gene Whife,7382 Lukken Road,Grujugan,,,Indonesia,8044.14,4/12/2027,Fliptune,Retail,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,Purchase,IDR,1.8682,4330.51,5/22/2028,Approved,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,Mymm,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,Nappy Luxon,nluxon3z@opera.com,401-472-0547,6 Everett Lane,Bakaran Kulon,,
145,5602217104621082,Mastercard,12/27/2027,433,Anabal Aleavy,02 Fair Oaks Terrace,Batan,,5615,Philippines,4667.14,5/20/2025,Cogilith,Retail,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,Cash Advance,PHP,1.0808,8333.49,6/4/2030,Pending,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,Kimia,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,Tabb Knoble,tknoble40@pinterest.com,337-698-8429,56210 Mcguire Road,Kisarazu,,299-0271
146,5564257703225303,Visa,5/11/2025,121,Georg Oakden,12463 Cottonwood Terrace,Añatuya,,3760,Argentina,7911.76,1/6/2028,Flipopia,Retail,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,Cash Advance,ARS,0.5113,4736.53,4/23/2024,Declined,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,Gabtype,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,Quill Soans,qsoans41@mapquest.com,976-794-6826,30061 Russell Trail,Don Tan,,49120
147,3542661363240696,American Express,8/19/2029,268,Sheena Veryard,58471 Longview Plaza,Hemudu,,,China,2853.73,9/11/2024,Brightdog,Retail,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,Purchase,CNY,0.9173,7805.17,8/27/2029,Approved,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,Feedfire,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,Krista Rickets,krickets42@fema.gov,944-796-3090,18 Jackson Court,Maganha,13,4785-650
148,3530724449174620,Visa,5/2/2023,839,Boycey Reolfi,808 Crest Line Alley,Chybie,,43-520,Poland,9214.07,7/2/2026,Centimia,Entertainment,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,Refund,PLN,0.8695,8418.01,1/3/2028,Declined,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,Eadel,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,Jordain Philipsson,jphilipsson43@odnoklassniki.ru,844-617-4214,21233 Gateway Pass,Kifrī,,
149,201601119294009,Mastercard,10/2/2027,404,Nerita Megarry,889 Westerfield Circle,El Capulin,MEX,56568,Mexico,2268.2,4/23/2023,Realpoint,Entertainment,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,Purchase,MXN,1.8742,8060.84,5/27/2028,Pending,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,Dynabox,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,Trix Thurlborn,tthurlborn44@last.fm,550-638-0792,235 4th Avenue,Longfengba,,
150,3586589787814746,Mastercard,9/5/2025,946,Francine Admans,30467 Ryan Plaza,Shezë,,,Albania,3533.41,8/1/2026,Zoomzone,Travel,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,Purchase,ALL,1.7043,1896.45,3/24/2027,Declined,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,Cogidoo,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,Berenice Duffet,bduffet45@github.io,748-527-4268,4 Dorton Circle,Askaniya Nova,,
